pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
17	GO_SPROUTING_ANGIOGENESIS	6.23060723498112e-06	0.00283289334201966	0.651756843598665	1.71710241698408	2	98	c("BMPER", "ACVRL1", "EGR3", "PTGS2", "GATA2", "ADAMTS9", "CDH13", "SRPX2", "ANGPT1", "CLEC14A", "THBS1", "ITGB1", "CEACAM1", "PIK3C2A", "PTK2B", "PLK2", "ANXA1", "PARVA", "SEMA5A", "CEMIP2", "JCAD", "SLIT2", "FBXW7", "RECK", "LOXL2", "PPP1R16B", "MMRN2", "NR4A1", "ESM1", "ROBO1")
18	GO_GROWTH_FACTOR_RECEPTOR_BINDING	6.27775289927555e-06	0.00283289334201966	0.672630201788923	1.76061515158308	2	89	c("IL6ST", "EFEMP1", "PDGFD", "FGF7", "IL1R1", "IL6", "IL1B", "PDGFRA", "EREG", "SNX4", "PTEN", "FLRT2", "LINGO1", "PYCARD", "PLSCR1", "SOCS5", "SNX2", "PDGFRB", "IL1RAP", "LYN", "YES1", "PDCL3", "GATA3", "ADAM17", "ESM1", "ERAP1", "SDCBP", "CDH5", "FRS2", "SHC1")
19	GO_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	6.29015213781304e-06	0.00283289334201966	0.673319844912549	1.75939356527809	2	87	c("C3", "IL6ST", "IL33", "IL6", "IL1B", "PTGS2", "IL1RL1", "CCN4", "SNX4", "CTSC", "PDCD4", "ADORA2B", "C2CD4B", "MDK", "GPRC5B", "MAPK13", "ITGA2", "OSMR", "PIK3CG")
20	GO_NEGATIVE_REGULATION_OF_WOUND_HEALING	6.5190606468212e-06	0.00283289334201966	0.71577176045848	1.81305668160655	2	61	c("C1QTNF1", "PROS1", "PRKG1", "FAP", "EDN1", "CD34", "APOE", "PDGFRA", "CD109", "THBS1", "CEACAM1", "TFPI", "PTEN", "SERPING1", "VTN", "CRK", "SERPINE2")
21	GO_NEGATIVE_REGULATION_OF_COAGULATION	6.80983976447034e-06	0.00283289334201966	0.76766721719433	1.87141877541396	2	43	c("C1QTNF1", "PROS1", "PRKG1", "FAP", "EDN1", "CD34", "APOE", "PDGFRA", "THBS1", "CEACAM1", "TFPI", "SERPING1", "VTN")
22	GO_URONIC_ACID_METABOLIC_PROCESS	7.41179958493922e-06	0.00288166915143926	-0.919434304866613	-2.27915067734138	0	13	c("SORD", "PRKCE", "AKR1A1", "DCXR")
23	GO_RETINOIC_ACID_METABOLIC_PROCESS	7.58681209742478e-06	0.00288166915143926	0.852482333555963	1.87273652874419	2	21	c("AKR1C3", "DHRS9", "ALDH1A2", "ALDH1A3", "SCPEP1", "CYP26B1", "CRABP2")
24	GO_HUMORAL_IMMUNE_RESPONSE	8.30139027533636e-06	0.00295402094798509	0.656229430775403	1.72992068772941	3	99	c("C3", "IL6", "CFD", "CCL2", "PROS1", "IL1B", "CFH", "CXCL2", "CD55", "SPON2", "C1R", "SERPING1", "PF4", "VTN", "CFI", "PRSS3", "GATA3", "RARRES2", "ATP7A", "CXCL3")
25	GO_ICOSANOID_METABOLIC_PROCESS	8.45358558832729e-06	0.00295402094798509	0.680600896585057	1.76634207985188	3	80	c("PTGS1", "AKR1C3", "IL1B", "PTGS2", "PTGIS", "LTC4S", "EDN1", "PLA2G4A", "AKR1C1", "PLA2G5", "ANXA1", "PTGDS", "PTGES", "AKR1C2", "CYP1B1", "ABCC1")
26	GO_ENDODERM_DEVELOPMENT	1.09085276323913e-05	0.00363821090978511	0.713799106717272	1.80195835049318	4	59	c("GATA4", "TBX20", "LAMC1", "FN1", "SOX17", "LAMB1", "COL12A1", "GATA6", "VTN", "COL5A1", "CDC73", "MMP14", "ZFP36L1", "MMP2", "ITGA4", "ITGAV", "BPTF", "HDAC1", "SMAD2", "ITGA7", "BMP4", "HSBP1", "RTF1")
27	GO_MONONUCLEAR_CELL_MIGRATION	1.12444705316161e-05	0.00363821090978511	0.742311142025297	1.82438750631557	4	46	c("PDGFD", "IL6", "CCL2", "CXCL12", "PLCB1", "THBS1", "CCL11", "ANXA1", "MDK", "NBL1", "SLIT2", "LYN", "LGALS3", "KARS1", "RARRES2", "ANO6")
28	GO_AORTIC_VALVE_DEVELOPMENT	1.19626955302584e-05	0.00366211735778233	0.790519135730309	1.83555770132197	4	30	c("GATA4", "TBX20", "SMAD6", "SLIT3", "EMILIN1", "GATA5", "SNAI1", "SLIT2", "GATA3", "NFATC1", "TWIST1", "JAG1", "SOX9", "ROBO1", "NOS3", "SNAI2", "BMP4", "DLL4", "RB1", "TGFB1")
29	GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	1.21567540494148e-05	0.00366211735778233	0.816365079901014	1.86611344785354	4	27	c("C3", "CD55", "C1R", "SERPING1", "CFI")
30	GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	1.2693765034178e-05	0.00369642437795262	0.672868342844424	1.7445316603178	5	79	c("PTGS1", "AKR1C3", "IL1B", "PTGS2", "PTGIS", "LTC4S", "EDN1", "PLA2G4A", "AKR1C1", "ANXA1", "ELOVL2", "PTGDS", "PTGES", "AKR1C2", "CYP1B1", "HSD17B4", "GSTM2")
31	GO_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS	1.34933646379393e-05	0.00370608358824914	0.734940147681363	1.80627172005173	5	46	c("AKR1C3", "EDN1", "FBXO32", "ZFP36", "CREBRF", "ANXA1", "ICAM1", "FOXO1", "KLF9", "ZFP36L1", "ZFP36L2", "REST", "CBX3", "AQP1", "SERPINF1", "STAR", "RPS6KB1")
32	GO_COLLAGEN_FIBRIL_ORGANIZATION	1.35753977591543e-05	0.00370608358824914	0.749066672390268	1.83138457353254	5	44	c("FMOD", "LUM", "EMILIN1", "LOX", "COL12A1", "PLOD2", "COL3A1", "SERPINH1", "ADAMTS2", "COL5A1", "COMP", "P4HA1", "COL5A3", "ADAMTS3", "CYP1B1", "LOXL2", "COL1A2", "PLOD1", "DDR2", "ATP7A")
33	GO_CYCLOOXYGENASE_PATHWAY	1.43418523936552e-05	0.00373811849014049	0.945009462151948	1.80889445449141	4	10	c("PTGS1", "AKR1C3", "PTGS2", "PTGIS", "PTGDS", "PTGES")
34	GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	1.45485380797592e-05	0.00373811849014049	0.648012286305827	1.70615949364061	6	97	c("ANGPT2", "ACVRL1", "EGR3", "PTGS2", "SOX18", "HIF1A", "GATA2", "APOE", "PRKD1", "PPARG", "SRPX2", "ANGPT1", "CLEC14A", "THBS1", "ITGB1", "NFE2L2", "ID1", "PIK3C2A", "PTK2B", "PRCP", "PLK2", "ANXA1", "STAT5A", "CD40", "JCAD", "SLIT2", "FBXW7", "SP1", "MMRN2", "NR4A1", "ADAM17", "ROBO1")
35	GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	1.5079966910244e-05	0.00376395974079691	0.692091379071669	1.7665591088953	6	66	c("C3", "IL6ST", "IL1R1", "CD1D", "IL6", "IL1B", "STAT6", "ZBTB1", "ANXA1", "IL18R1", "PYCARD", "CD40", "SOCS5", "HLX", "GATA3", "B2M", "CD274", "TNFSF13B", "EIF2AK4", "ADA", "TFRC", "RIPK2", "MICB", "TGFB1")
36	GO_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	1.71269744954883e-05	0.00415614581090515	0.817278305505561	1.85712018104397	6	26	c("C3", "IL6ST", "IL6", "IL1B", "PTGS2", "PPARG", "C2CD4B", "OSMR", "PIK3CG")
37	GO_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	1.9173722139897e-05	0.00452707125984162	0.906796294765373	1.82776063177003	6	13	c("IL6", "FAP", "PTGIS")
38	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	2.12779086369159e-05	0.00489167920663414	0.673223672735976	1.73608955476569	9	74	c("C1QTNF1", "PROS1", "PRKG1", "FAP", "EDN1", "CD34", "APOE", "PDGFRA", "CD109", "THBS1", "CEACAM1", "TFPI", "PTEN", "SERPING1", "MDK", "VTN", "CRK", "SERPINE2")
39	GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	2.2309725925017e-05	0.00499737860720381	0.727577431463667	1.80101566530188	9	49	c("TFPI2", "SPOCK1", "CD109", "SERPINA3", "PAPLN", "TFPI", "SERPINH1", "ITIH5", "SERPING1", "SERPINB1", "SERPINB9", "SPINT1", "RECK", "SERPINE2", "CRIM1", "APLP2")
40	GO_CELLULAR_DETOXIFICATION	2.33541680820708e-05	0.00510055030912426	0.672962840905937	1.73923666832004	10	76	c("PTGS1", "GSTM3", "TXNRD1", "PTGS2", "NQO1", "LTC4S", "CYGB", "APOE", "SOD2", "GPX8", "NFE2L2", "PRDX6", "MGST1", "SOD3", "ADH5", "GSTM2")
41	GO_COLLAGEN_TRIMER	2.44101075598103e-05	0.0052011390156708	0.714896146113479	1.77749833594253	10	51	c("C1QTNF1", "LUM", "COL4A4", "EMILIN1", "LOX", "DCN", "COLEC12", "COL12A1", "C1QTNF5", "COL3A1", "C1QTNF6", "COL9A3", "COL5A1", "COL5A3", "COL1A2", "C1QTNF7")
42	GO_MUSCLE_HYPERTROPHY	2.79113706630024e-05	0.0058055650979045	0.682053438232591	1.74556040549163	12	68	c("GATA4", "IL6ST", "G6PD", "PDLIM5", "HAND2", "EDN1", "CAMK2D", "NR4A3", "GATA6", "GATA5", "RGS2", "FOXO1", "ATP2B4", "LMCD1", "MTPN", "MAP2K4", "KLF15")
43	GO_ANTIOXIDANT_ACTIVITY	2.86536109060051e-05	0.00582134755522932	0.705656007144716	1.76509058414023	12	54	c("PTGS1", "TXNRD1", "PTGS2", "NQO1", "LTC4S", "CYGB", "APOE", "SOD2", "GPX8", "PRDX6", "MGST1", "SOD3", "GSTM2")
44	GO_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	2.98244829180274e-05	0.0059215155175429	0.952057116827181	1.743082416123	9	8	c("C3", "CFD", "CFH")
45	GO_CYTOKINE_BINDING	3.14507606890652e-05	0.00610564100843719	0.651163929976955	1.70149986963691	14	87	c("IL6ST", "IL1R1", "ACVRL1", "IL13RA2", "FZD4", "IL1RL1", "CD109", "THBS1", "ITGB1", "PDPN", "ZFP36", "TWSG1", "IL18R1", "OSMR", "COMP", "NBL1", "IL18BP", "ENG", "ITGA4", "ITGAV", "VASN", "KLHL20", "CXCR4")
46	GO_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE	4.1703069971496e-05	0.0078590371180172	0.640054390131947	1.680391703226	19	93	c("IL33", "IRAK3", "IL13RA2", "SAMHD1", "TYRO3", "PPARG", "IL1RL1", "ANGPT1", "IFI16", "STAT6", "CD55", "COL3A1", "CEACAM1", "NMI", "ANXA1", "FGL2", "SERPING1", "SOCS5", "HLX", "SERPINB9", "LYN", "LGALS3", "CRK", "ARG2", "DHX58")
47	GO_SEMI_LUNAR_VALVE_DEVELOPMENT	4.228190757175e-05	0.0078590371180172	0.759550586591308	1.79561941678564	17	34	c("GATA4", "TBX20", "SMAD6", "SLIT3", "EMILIN1", "GATA5", "SNAI1", "SLIT2", "GATA3", "NFATC1", "TWIST1", "JAG1", "SOX9", "ROBO1", "NOS3", "SNAI2", "BMP4", "DLL4", "RB1", "TGFB1")
48	GO_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	4.52513258638478e-05	0.0082357413072203	0.727808861542842	1.77941159397277	19	44	c("EFEMP1", "PKDCC", "ACVRL1", "CCN4", "TRPS1", "SHOX2", "MDK", "GLG1", "RARG", "SIX2", "LOXL2", "SOX9", "ADAMTS12", "AXIN2", "GDF6", "ZBTB16", "CCN2", "RARB", "SNAI2", "BMP4", "GLI2")
49	GO_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS	4.79932559042138e-05	0.00827886893364816	0.640396255797263	1.68018685977644	22	92	c("FMOD", "HGF", "CSGALNACT1", "IL1B", "LUM", "VCAN", "DCN", "ANGPT1", "ST3GAL1", "CEMIP", "ITIH5", "CHST1", "CHST11", "SPOCK3", "HAS2", "CEMIP2", "DSE", "CHST7", "CHSY1", "HEXA", "PRELP", "GNS", "CHSY3", "LYVE1", "CHST3", "UST", "OMD", "TGFB1", "B4GALT1", "IMPAD1", "CLTC", "ST3GAL6", "OGN", "ST3GAL4")
50	GO_MYOFIBRIL_ASSEMBLY	4.83225182935248e-05	0.00827886893364816	0.744507277582129	1.79280367339217	20	39	c("MYH10", "ANKRD1", "EDN1", "PDGFRA", "KRT19", "ITGB1", "LMOD1", "TNNT2", "MYOZ2", "TMOD2", "PDGFRB", "ACTN2")
51	GO_DETOXIFICATION	4.83313090219844e-05	0.00827886893364816	0.648645251769745	1.69175369143028	22	85	c("PTGS1", "GSTM3", "TXNRD1", "PTGS2", "NQO1", "LTC4S", "CYGB", "APOE", "SOD2", "GPX8", "NFE2L2", "PRDX6", "MGST1", "SOD3", "ADH5", "GSTM2")
52	GO_REPLICATION_FORK	5.35117056856187e-05	0.00898996655518395	-0.518422705513191	-1.89247974515779	1	64	c("TIMELESS", "POLA2", "POLD2", "POLD1", "MCM3", "DNMT1", "PRPF19", "RPA3", "RPA2", "PCNA", "RFC5", "RFC2", "DMAP1", "GINS2", "PRIM2", "XRCC3", "PRIM1", "RAD51D", "XRCC2", "BLM", "RFC4", "TONSL", "GINS4", "BAZ1B", "MMS22L", "DONSON")
53	GO_HEART_VALVE_DEVELOPMENT	6.35254430352019e-05	0.010470910761425	0.68591895761948	1.7253102280217	28	57	c("GATA4", "TBX20", "SMAD6", "SLIT3", "EMILIN1", "ADAMTS9", "SHOX2", "TBX5", "SOX4", "GATA5", "SNAI1", "SLIT2", "ZFPM1", "GATA3", "NFATC1", "TWIST1", "JAG1", "SOX9", "ROBO1", "NOS3", "SNAI2", "BMP4", "DLL4", "TGFBR2", "RB1", "TGFB1", "MDM4")
54	GO_CELLULAR_GLUCURONIDATION	6.60624157704199e-05	0.0106734905473076	-0.903072748035134	-2.07515388283409	9	10	PRKCE
55	GO_POSITIVE_REGULATION_OF_HYPERSENSITIVITY	6.71980288578202e-05	0.0106734905473076	0.99972942199978	1.40170311273273	17	2	c("C3", "BTK")
56	GO_MUSCLE_CELL_APOPTOTIC_PROCESS	7.43232756453556e-05	0.0115868258509241	0.681572119292133	1.71755787081857	33	58	c("GATA4", "HAND2", "EDN1", "SOD2", "PDE1A", "PPARG", "NFE2L2", "CAMK2D", "PTEN", "PTK2B", "PDCD4", "MDK", "STK4", "MAP2K4", "BNIP3", "HSPB6", "DIPK2A")
57	GO_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	7.6296273689993e-05	0.0115868258509241	0.957619458031567	1.70618237879309	24	7	c("C3", "IL1B")
58	GO_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS	7.69271862813184e-05	0.0115868258509241	0.660307710486048	1.69657594191611	35	71	c("PTGS1", "AKR1C3", "IL1B", "PTGS2", "PTGIS", "LTC4S", "EDN1", "PLA2G4A", "PLA2G5", "PPT1", "ANXA1", "ELOVL2", "ACSL4", "PTGDS", "PTGES")
59	GO_REGULATION_OF_MUSCLE_CONTRACTION	8.09978940547546e-05	0.0119931797027515	0.62713776277604	1.65224159718655	38	98	c("GATA4", "PRKG1", "PTGS2", "PKP2", "EDN1", "CAMK2D", "TNNT2", "P2RX1", "ADORA2B", "SPHK1", "ITGA2", "RGS2", "F2R", "MYL9", "PIK3CG", "DSC2", "GSTM2", "RNF207", "MYL3", "ADORA1", "SRI", "HSPB6", "ADA", "FLNA", "KCNE3", "TNNT3", "CCN2", "DMD")
60	GO_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	8.49121980481151e-05	0.0123632160358056	0.890117294023958	1.79414203285382	30	13	c("IL33", "IL1R1", "IL1B", "IL1RL1", "ANXA1", "IL18R1", "SOCS5", "HLX")
61	GO_CELL_CYCLE_DNA_REPLICATION	9.40269387179427e-05	0.0134658907645893	-0.538379542003109	-1.92974045116611	3	58	c("POLA2", "MCM5", "MCM4", "LIG1", "POLE", "FEN1", "MCM2", "MCM7", "POLD2", "POLD1", "GINS1", "MCM3", "RPA3", "RPA2", "PCNA", "RFC5", "RFC2", "FBXO5", "POLE3")
62	GO_T_HELPER_1_TYPE_IMMUNE_RESPONSE	9.84940263373026e-05	0.0138781260335915	0.792194909661647	1.78916412462292	39	25	c("IL33", "IL1R1", "IL1B", "IL1RL1", "STAT6", "ANXA1", "IL18R1", "SOCS5", "HLX", "IL18BP")
63	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR	0.000100486642454171	0.0138783237242922	0.766284539621261	1.77928581931965	41	30	c("PTGS1", "PTGS2", "LTC4S", "CYGB", "GPX8", "PRDX6", "MGST1", "SESN3", "GSTM2")
64	GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	0.0001019090970854	0.0138783237242922	0.651141114766351	1.68283957778097	47	76	c("ACVRL1", "EGR3", "HIF1A", "GATA2", "CXCL12", "PRKD1", "CDH13", "CCL11", "LRG1", "MDK", "STAT5A", "APLN", "SEMA5A", "JCAD", "SP1", "ITGA4", "PPP1R16B", "PDCL3", "NR4A1", "ADAM17", "EGFL7", "CYBA")
65	GO_REGULATION_OF_CGMP_MEDIATED_SIGNALING	0.000103261337234317	0.0138783237242922	0.917701361101801	1.75662252015563	35	10	c("NPR1", "PDE10A", "THBS1", "PTK2B", "ADORA2B")
66	GO_POSITIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE	0.000106129707713048	0.0140477140391089	0.917051490509206	1.7553785672026	36	10	c("IL33", "IL6", "IL1B", "CTSC")
67	GO_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS	0.000119053288251822	0.015390614356117	0.853703358492988	1.78829031553066	44	16	c("TFPI2", "PTGS2", "MTSS1", "NFE2L2", "PTK2B", "HAS2", "SOCS5")
68	GO_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	0.000119798738119958	0.015390614356117	0.746740385521574	1.76533539597148	50	34	c("DPP4", "IL6", "MELTF", "FAP", "EMILIN1", "ANTXR1", "PDPN", "DDR1", "HAS2", "PHLDB1", "CST3", "SOX9", "DDR2")
69	GO_PLATELET_ALPHA_GRANULE	0.000123140158978191	0.0155906149106302	0.646414671193189	1.6706243357594	57	76	c("HGF", "TIMP1", "THBS2", "CFD", "PROS1", "FN1", "CD109", "SERPINA3", "THBS1", "VWF", "SERPING1", "PF4", "QSOX1", "SPARC", "FERMT3", "SERPINE2", "MMRN1", "APLP2", "LHFPL2", "PCYOX1L", "STXBP1", "ACTN2")
70	GO_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS	0.000128966278711966	0.0160949915832534	0.714291008761801	1.74636194971148	56	44	c("PTX3", "IL1B", "PTGS2", "PTGIS", "EDN1", "CD34", "PTK2B", "ICAM1", "ATP2B4")
71	GO_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.000131973927320392	0.0162383694235345	0.700101837073326	1.72899817501465	58	48	c("PTGS2", "HIF1A", "GATA2", "PRKD1", "SRPX2", "ANGPT1", "THBS1", "NFE2L2", "PIK3C2A", "PLK2", "ANXA1", "STAT5A", "CD40", "JCAD", "SP1")
72	GO_BONE_MINERALIZATION	0.000148866933928242	0.0180625213166267	0.627445105748923	1.63952227156362	70	87	c("PKDCC", "MGP", "PTGS2", "HIF1A", "LOX", "ROR2", "FBN2", "PTK2B", "GPC3", "S1PR1", "COMP", "GPNMB", "NBR1", "OSR1", "COL1A2", "ACVR2A", "TWIST1", "SOX9", "TXLNG", "DDR2", "ANO6", "AXIN2", "OSR2", "TMEM119", "BMP4", "LGR4", "ASPN", "ZMPSTE24", "OMD", "TGFB1", "ATRAID", "FBXL15", "WNT11", "MEF2C", "TRPM4", "BMPR2", "PTH1R", "MINPP1", "TGFB3", "BMP2", "ACVR1", "SBNO2")
73	GO_CARDIAC_CHAMBER_MORPHOGENESIS	0.000151833440795358	0.0181700950518938	0.618426245918989	1.62716611550301	72	96	c("GATA4", "TBX20", "ID2", "SMAD6", "SLIT3", "HAND2", "HIF1A", "PKP2", "ADAMTS1", "SHOX2", "TBX5", "SOX4", "GATA6", "TNNT2", "PARVA", "HEG1", "SOS1", "PTCD2", "SLIT2", "ZFPM2", "ZFPM1", "ENG", "GATA3", "MYL3", "JAG1", "ROBO1", "VANGL2", "NOS3", "RARB", "BMP4", "SMO", "DLL4", "TGFBR2", "TGFB1")
74	GO_TRANSMISSION_OF_NERVE_IMPULSE	0.000156472916379033	0.0184130136334497	0.727036167600469	1.75073253306017	67	39	c("KCNMB4", "SCN7A", "NRCAM", "ANK3", "P2RX1", "SCN1B", "ITGA2", "S1PR1", "JAM3", "NFASC", "FMR1", "TYMP", "GRIK2", "FGF12", "PAFAH1B1")
75	GO_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION	0.000160861540545575	0.0184130136334497	-0.771634622909839	-2.06335449412619	18	17	c("MCM4", "LIG1", "POLE", "MCM7", "POLD2", "GINS1", "MCM3", "PCNA", "GINS2", "GINS3", "RFC4", "LIG3", "GINS4")
76	GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BINDING	0.000162294190679445	0.0184130136334497	0.867324401666091	1.77272585676292	59	14	c("PDGFD", "IL1R1", "PDGFRA", "PTEN", "PDGFRB", "LYN")
77	GO_GLOMERULAR_MESANGIUM_DEVELOPMENT	0.000162294190679445	0.0184130136334497	0.867062672092809	1.77219090723176	59	14	c("PDGFD", "WT1", "CD34", "GPR4", "ACTA2", "EGR1", "PDGFRB")
78	GO_HEXOSE_PHOSPHATE_TRANSPORT	0.000170923205857704	0.018901077549024	-0.947622270855828	-1.86581182951583	30	6	c("SLC37A4", "SLC37A2")
79	GO_PHOSPHATE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.000170923205857704	0.018901077549024	-0.947924417920746	-1.8664067390967	30	6	c("SLC37A4", "SLC37A2")
