From	To
uniprot:Q9EPR5	Sorcs2
uniprot:Q6WBX7	Rad9b
uniprot:Q9CQ21	Mcts2
uniprot:A2A592	Gm11939
uniprot:E9PWL1	Cacna1g
uniprot:Q61574	Foxs1
uniprot:D3YUR8	Erg28
uniprot:F6UVU0	Myo10
uniprot:Q3UNB6	Arhgdig
uniprot:Q4FJX9	Sod2
uniprot:Q810R7	Fkbp1b
uniprot:Q3V411	Flrt3
uniprot:Q9CS69	Sltm
uniprot:P48320	Gad2
uniprot:A2AHZ2	Siah1b
uniprot:Q8BL06	Usp54
uniprot:Q64253	Ly6e
uniprot:Q3U3Q1	Ulk3
uniprot:Q3SYK4	Vrtn
uniprot:Q8BV14	Ankrd55
uniprot:A2AUM9	Cep152
uniprot:Q3U699	Cfap410
uniprot:E0CYR2	Phc1
uniprot:Q8BK63	Csnk1a1
uniprot:Q3TEV8	Rffl
uniprot:Q9QZU3	Gp5
uniprot:Q542D4	Jtb
uniprot:Q3USD9	Usp53
uniprot:O88566	Axin2
uniprot:Q3TWK8	Fbln1
uniprot:E9PUE0	1190005I06Rik
uniprot:Q8BI02	Ccdc171
uniprot:P70428	Ext2
uniprot:O88632	Sema3f
uniprot:Q7TQD7	Myo1b
uniprot:B8JJA4	Ubxn6
uniprot:Q8BUB6	Ust
uniprot:G3XA07	Tpsg1
uniprot:D6RJL8	Dram1
uniprot:D3Z1M7	Synj1
uniprot:A2AJ30	Paxx
uniprot:Q3UXD6	Bsn
uniprot:B2RUR3	Abcb1b
uniprot:P56198	Cidec
uniprot:Q0KL01	Ubxn2b
uniprot:Q7TNW3	Dusp13
uniprot:Q6PAQ9	Prrg3
uniprot:Q8R0N9	Zdhhc1
uniprot:B7ZMS3	Psma8
uniprot:Q3TBW8	Trim26
uniprot:A2ADF2	Fblim1
uniprot:Q3TWC1	Ralgds
uniprot:Q9D034	Gna13
uniprot:O70238	Rhox6
uniprot:Q3TPC3	Gas2l3
uniprot:Q8BFW3	Ppp1r15b
uniprot:O88186	Gp9
uniprot:E9QP01	Cic
uniprot:Q8C3V7	Fech
uniprot:E9PXA2	Stk35
uniprot:Q9DBS2	Tprg1l
uniprot:F6WIZ2	Safb2
uniprot:Q5SXS3	Pmp22
uniprot:Q5SXG3	Mink1
uniprot:D3YVW5	Atp6v1c2
uniprot:E9Q7V6	Pde1c
uniprot:Q80Z71	Tnn
uniprot:Q570Y9	Deptor
uniprot:E9Q4J9	Adgrf2
uniprot:Q9DCG9	Trmt112
uniprot:Q0P5W1	Vps8
uniprot:Q9D9K3	Aven
uniprot:Q9D701	Upk3bl1
uniprot:Q64176	Ces1e
uniprot:Q62361	Trh
uniprot:Q8BWM0	Ptges2
uniprot:E9QPU5	Rnase10
uniprot:A2A4P5	Ptges3l
uniprot:Q80TI9	Asb1
uniprot:F6R0V7	Efemp2
uniprot:B2RVN8	Fam163b
uniprot:P22724	Wnt4
uniprot:Q8R1R3	Stard7
uniprot:Q8BJX5	St3gal1
uniprot:D3Z275	Pcyox1
uniprot:E9Q8M9	Rgl1
uniprot:Q9D4H8	Cul2
uniprot:Q3TDX8	Cyb5r4
uniprot:Q8C6B0	Mettl7a1
uniprot:F8VQG7	N4bp2
uniprot:Q3URR0	Cenpw
uniprot:E0CYN0	Agmo
uniprot:Q8CHG5	Arel1
uniprot:Q9D6K9	Cers5
uniprot:Q8VHI3	Pofut2
uniprot:Q60848	Hells
uniprot:P04760	Chrng
uniprot:P15920	Atp6v0a2
uniprot:Q920B9	Supt16h
uniprot:Q64HY3	Sp9
uniprot:F8VPU8	AU041133
uniprot:B7ZMX9	Pnoc
uniprot:Q9D2A8	Gcnt2
uniprot:Q0PD15	Rab39
uniprot:G3UYI6	A930009A15Rik
uniprot:Q8VHK8	Tmprss11d
uniprot:Q543N7	Pacsin3
uniprot:Q8R1G2	Cmbl
uniprot:Q5GLZ0	Cyp2c66
uniprot:P01216	Cga
uniprot:Q3TWV4	Ap2m1
uniprot:Q9EQF2	Kel
uniprot:Q9D405	Eri2
uniprot:Q9D6J4	Necab3
uniprot:Q6TLW1	Npcd
uniprot:A2AQP0	Myh7b
uniprot:Q8BIG4	Fbxo28
uniprot:A2RSY1	Kansl3
uniprot:B2RT16	Lpcat2b
uniprot:Q64302	Tm4sf1
uniprot:Q9R1Y5	Hic1
uniprot:B7ZCC2	Crybg2
uniprot:Q3TNK7	Ccdc50
uniprot:Q8CB16	Palm
uniprot:Q3TLR3	Trim32
uniprot:Q3UQG0	Kdm6b
uniprot:O70578	Cacng1
uniprot:Q8BY71	Hat1
uniprot:Q8BVR8	Adap1
uniprot:E9PY16	Adap1
uniprot:Q0VBA6	Hcar2
uniprot:Q547K2	Slc22a3
uniprot:Q60935	Art1
uniprot:B2RUC1	Tpd52l1
uniprot:Q9Z1Q3	Ly6g6d
uniprot:Q8BZ17	Zfp459
uniprot:G3XA46	Renbp
uniprot:Q8BQD3	Efna5
uniprot:G3X9S2	Enpp1
uniprot:F8WHJ2	Gtpbp10
uniprot:Q6ZWZ2	Ube2r2
uniprot:E9Q411	Nbas
uniprot:F8WGM5	Stxbp2
uniprot:Q3UN66	Prkcg
uniprot:D3YZJ2	Lgals3
uniprot:Q3TZS1	Tgif2
uniprot:Q9D6Z1	Nop56
uniprot:Q9D518	Fam227b
uniprot:Q5FWJ8	Enpp5
uniprot:D6RDE6	Josd2
uniprot:D3Z6G7	Cd300c
uniprot:Q3KQQ4	Serpina1b
uniprot:Q8C0S2	Olfr112
uniprot:Q8BHJ5	Tbl1xr1
uniprot:Q5RJY2	G2e3
uniprot:Q80V03	Adck5
uniprot:Q9D638	Krtap3-2
uniprot:Q05CK0	Ippk
uniprot:Q8N9S3	Ahsa2
uniprot:E9Q8Q1	Babam2
uniprot:Q5U4F7	Zfp985
uniprot:A2ARK0	Fam83c
uniprot:Q3TY04	Prkar1b
uniprot:A2AJ21	Npdc1
uniprot:Q7TPD2	Fam185a
uniprot:Q4KN85	H2-T3
uniprot:Q05A81	Il5ra
uniprot:Q8C2R4	Dgcr2
uniprot:D3Z3G3	Syngr4
uniprot:Q9QZQ0	Npas3
uniprot:Q8R0J2	Mpdu1
uniprot:Q9D0D3	Mtpap
uniprot:P42925	Pxmp2
uniprot:O08852	Pkd1
uniprot:B1AQX9	Srcin1
uniprot:Q8BWU3	Fam131a
uniprot:Q3UF01	Ddah1
uniprot:Q9JLE8	Gabre
uniprot:Q8CDB3	Cd28
uniprot:Q8BUU2	Ccdc93
uniprot:P80560	Ptprn2
uniprot:A2AMC3	Pofut1
uniprot:Q3U6B2	Gpr183
uniprot:P24699	Myf5
uniprot:D3Z7E3	Dok7
uniprot:P58404	Strn4
uniprot:Q9DCM0	Ethe1
uniprot:A2AMM0	Cavin4
uniprot:F7BZR8	Ddr1
uniprot:Q4FJM5	Rhob
uniprot:Q99NF7	Ppm1b
uniprot:Q571F6	Brd1
uniprot:F8WID5	Tpm1
uniprot:Q9D995	Cntd1
uniprot:Q8K4D7	Plcz1
uniprot:A2A5R6	Znfx1
uniprot:Q9D4K5	Fam166a
uniprot:Q3UDZ1	Rhog
uniprot:Q8C9G5	Hgf
uniprot:Q3TVP5	Otulinl
uniprot:F8WIJ8	Nkiras1
uniprot:Q9DB52	Fam122a
uniprot:O55229	Chkb
uniprot:P62482	Kcnab2
uniprot:A2AQA7	Aqr
uniprot:Q8BJ45	Zfp52
uniprot:P63268	Actg2
uniprot:Q9CR04	Hypm
uniprot:D3Z3J6	Paip1
uniprot:Q9CQZ1	Hsbp1
uniprot:Q8CCA5	Apol10a
uniprot:O35295	Purb
uniprot:Q9CQY9	Ndufc1
uniprot:D3Z5F8	Zfp777
uniprot:Q8BN51	Tk2
uniprot:Q922H2	Pdk3
uniprot:Q61733	Mrps31
uniprot:Q9R216	Fzd9
uniprot:Q78ZN4	Xcp2
uniprot:Q91W36	Usp3
uniprot:A9P558	Csf2ra
uniprot:F6RGN1	Hid1
uniprot:Q3V0U2	Grm1
uniprot:F6Z4B2	Ncor2
uniprot:Q9CWR1	Wdr73
uniprot:A2AGW8	Gm13078
uniprot:Q8CHW5	Bicdl2
uniprot:G5E885	Irak1bp1
uniprot:A2AG83	Psmd10
uniprot:Q8R4I4	Gtf2a1l
uniprot:Q99M29	BC002059
uniprot:F2Z3W3	Rhbdf1
uniprot:Q8BJN4	Fndc9
uniprot:Q99N04	Ms4a7
uniprot:Q3UG90	Pxn
uniprot:Q3UTI6	Ptprn
uniprot:B2FDH3	Pbx3
uniprot:Q8VH51	Rbm39
uniprot:Q3UD61	Mx1
uniprot:Q8C8L1	Lrrtm2
uniprot:O08599	Stxbp1
uniprot:Q8VDD5	Myh9
uniprot:A2AUR5	Pter
uniprot:Q91W40	Klc3
uniprot:D6RFQ6	Mtfr1
uniprot:D3Z5E5	Nkapd1
uniprot:Q3TRC2	Evi5
uniprot:Q7TN05	Ap1s3
uniprot:P47945	Mt4
uniprot:B2RUK2	Erbin
uniprot:E9QMX6	Prh1
uniprot:Q8K0T2	Dync2li1
uniprot:O08999	Ltbp2
uniprot:B6VGH4	Cyp1a2
uniprot:Q69ZT0	mKIAA1021
uniprot:Q02862	Csn1s2a
uniprot:Q5ND28	Scarf1
uniprot:D3Z7U0	Anxa11
uniprot:Q920H1	Scgb3a2
uniprot:B1AXF6	Alpl
uniprot:Q3T9J2	Zfp384
uniprot:A6PWC1	Skint11
uniprot:B0QZT9	Slu7
uniprot:A2AFN3	Tro
uniprot:O35638	Stag2
uniprot:Q53WR6	Glg1
uniprot:Q80XR5	U2af2
uniprot:B7ZWG4	Trim40
uniprot:D6RG69	Ccdc167
uniprot:P63143	Kcnab1
uniprot:Q8R070	Slc37a1
uniprot:Q9CZ91	Srfbp1
uniprot:Q3TTU8	Nfatc2
uniprot:Q3TA30	Atrx
uniprot:Q8BK00	Gnpda1
uniprot:Q6P9S0	Mtss2
uniprot:Q8BM72	Hspa13
uniprot:G5E8E4	Zmat1
uniprot:P11152	Lpl
uniprot:E0CZ08	Arpp21
uniprot:P41139	Id4
uniprot:E9PZ59	Ncoa4
uniprot:Q3TVI8	Pbxip1
uniprot:Q3TU48	Gpr35
uniprot:D3YY42	Yif1b
uniprot:A2AU90	Trp53bp1
uniprot:Q3TVB8	Tnnt1
uniprot:F8WI85	Lrrc36
uniprot:A2A9C8	Med8
uniprot:Q8CGJ2	Ptpn13
uniprot:A2AIS0	Cacna1b
uniprot:B8JJF6	Mtmr2
uniprot:Q3V0X2	Cldn34b4
uniprot:A6XA75	Treml1
uniprot:A2A6U5	Sept9
uniprot:Q80WJ7	Mtdh
uniprot:D6RHN4	Pecr
uniprot:D3Z7S8	Gtf2a2
uniprot:E9Q6K3	Pibf1
uniprot:G3X9Y3	Fbxl21
uniprot:Q7TNC9	Inpp5a
uniprot:Q3V0D6	4930544L04Rik
uniprot:E9Q138	Igf1
uniprot:B8JJ91	Acin1
uniprot:D6REG3	Il17rb
uniprot:Q8BI74	Sorcs2
uniprot:P67871	Csnk2b
uniprot:Q9CY64	Blvra
uniprot:Q791X1	Cdkn1c
uniprot:Q8CAQ6	Tcf7
uniprot:Q8K4P1	Npb
uniprot:E9Q3Q4	Nrxn3
uniprot:Q8C1L2	2410141K09Rik
uniprot:Q6IR38	Robo4
uniprot:Q9D2J9	Mroh9
uniprot:D3Z7N1	Lipt1
uniprot:Q9Z320	Krt27
uniprot:Q3URT5	Nle1
uniprot:Q3V141	Papola
uniprot:Q9CXS2	Rab3c
uniprot:Q3U1C6	Tatdn3
uniprot:D6RH46	Clk4
uniprot:Q59IW9	Abi3bp
uniprot:P70704	Atp8a1
uniprot:Q8BHL4	Gprc5a
uniprot:P28653	Bgn
uniprot:D3YWH1	Snx1
uniprot:D3YU02	Prkd3
uniprot:G3UYV9	Agpat1
uniprot:Q8VEJ3	Dkk4
uniprot:Q920Q6	Msi2
uniprot:B2RQ18	Fkbp15
uniprot:A2AGJ9	Slc12a6
uniprot:A2AUT4	Spc25
uniprot:A2ANC1	Sirpa
uniprot:D3YZ50	Podxl2
uniprot:Q923D9	Rtp4
uniprot:O08738	Casp6
uniprot:Q6PFB2	Rcc1
uniprot:E9PXZ1	Tfeb
uniprot:Q9CQ74	Leprotl1
uniprot:B8JJE4	Rreb1
uniprot:A2AMS8	Ccl27a
uniprot:D0ESZ4	Emilin2
uniprot:Q5D098	Psmb7
uniprot:Q3V140	Acrbp
uniprot:D3Z4X8	1300017J02Rik
uniprot:Q3T9H7	Dok3
uniprot:D3YV68	Kcnj15
uniprot:Q9CR80	Fam32a
uniprot:Q03160	Grb7
uniprot:Q8BU90	Olfm5
uniprot:E9Q778	Usp1
uniprot:Q3V0B2	Alas1
uniprot:Q3TJX6	Utp18
uniprot:O35206	Col15a1
uniprot:Q6PAS1	St8sia4
uniprot:Q8BGN2	D3Ertd751e
uniprot:G3X961	Klhdc4
uniprot:D3Z289	Rgs8
uniprot:D6RH77	Pld1
uniprot:Q6A0A9	FAM120A
uniprot:Q3UMT7	Hnrnpl
uniprot:P55065	Pltp
uniprot:D3YZP9	Ccdc6
uniprot:D3Z7B8	Col13a1
uniprot:P28028	Braf
uniprot:P29974	Cnga1
uniprot:A2AW73	Sema6d
uniprot:Q9WV18	Gabbr1
uniprot:D3Z7Q4	Gimap4
uniprot:Q3UVT7	Palmd
uniprot:Q8VIB5	Barhl2
uniprot:Q6IFX4	Krt39
uniprot:D6RGA2	Myo1g
uniprot:Q541P3	Bdnf
uniprot:Q8BVI5	Stx16
uniprot:Q69ZJ7	Ric1
uniprot:D6RCY1	Tmc6
uniprot:B9EIE9	Adss
uniprot:Q8C5Q6	Fcgbp
uniprot:Q8BZ35	Mroh1
uniprot:A1A4T4	Pik3r5
uniprot:Q9WVL0	Gstz1
uniprot:Q8BS54	Zmym6
uniprot:P35330	Icam2
uniprot:Q3V1G7	Zfp951
uniprot:Q3US09	Thoc2
uniprot:F8WIA3	Gm20604
uniprot:Q91W96	Anapc4
uniprot:F8WI56	Dip2a
uniprot:E9QQ90	Tcf7l2
uniprot:Q3ULB5	Pak6
uniprot:F6QJ09	Gm10203
uniprot:P31316	Gsx2
uniprot:Q8CCS6	Pabpn1
uniprot:Q08EA5	Serpina1f
uniprot:Q99JG2	Gpr37l1
uniprot:Q8C4A0	Aqp6
uniprot:D3YUC5	Fnip2
uniprot:Q8CIV7	Ovol2
uniprot:B8JJ61	Lst1
uniprot:Q61469	Plpp1
uniprot:Q3U9W1	Cfb
uniprot:Q6PIX5	Rhbdf1
uniprot:Q3V4B5	Commd6
uniprot:Q60714	Slc27a1
uniprot:G3UXP4	Plcg1
uniprot:P52592	S1pr2
uniprot:Q32KI9	Arsi
uniprot:Q8C313	Sik1
uniprot:E0CYF7	Gls2
uniprot:D6RCI5	D230025D16Rik
uniprot:Q5NCU3	Sparc
uniprot:Q8BFW7	Lpp
uniprot:P32848	Pvalb
uniprot:Q64104	Nr2e1
uniprot:Q9EQU5	Set
uniprot:A3FIN4	Atp8b5
uniprot:Q9CY05	Med8
uniprot:P60003	Elof1
uniprot:D3Z5Q8	Synpr
uniprot:Q6S385	Plec
uniprot:D3Z709	Dlgap1
uniprot:Q8BP47	Nars
uniprot:D3Z2I9	Serpina6
uniprot:Q91VF6	Col26a1
uniprot:Q8BHC9	Fut11
uniprot:O54972	Cbfa2t3
uniprot:G3X9Y1	Syt3
uniprot:Q7M729	Scn4b
uniprot:Q0PL81	Rpain
uniprot:Q9D6R3	Lce1h
uniprot:Q8BIY1	Gpatch3
uniprot:Q8R1T1	Chmp7
uniprot:D6RFB6	Alkbh4
uniprot:A2AMW3	Gabre
uniprot:Q60760	Grb10
uniprot:P00687	Amy1
uniprot:O08675	F2rl2
uniprot:Q3UC02	Rps11
uniprot:Q9D9D8	Dusp21
uniprot:Q920S2	Prss41
uniprot:Q05AC5	A26c3
uniprot:Q3TQJ2	Galt
uniprot:Q3TTH0	Ift81
uniprot:D6RFC3	Pdrg1
uniprot:Q9D3D9	Atp5f1d
uniprot:E9Q7A7	Ccnt1
uniprot:Q3TU81	F2rl1
uniprot:Q8CGP2	Hist1h2bp
uniprot:O70555	Sprr2d
uniprot:Q91VY9	Znf622
uniprot:E0CZC6	Runx2
uniprot:Q68FM4	Ptprm
uniprot:Q0WXH7	H2-Q4
uniprot:Q8CIT9	Sbsn
uniprot:E0CXI3	Hapln2
uniprot:P14231	Atp1b2
uniprot:A2AEI7	Tcp11x2
uniprot:E9Q0L2	Slc15a2
uniprot:Q05AC0	Bco1
uniprot:D6RI18	Smn1
uniprot:Q9CX97	Wdr55
uniprot:Q14C45	Pradc1
uniprot:Q922H9	Znf330
uniprot:B1AWH2	Tstd2
uniprot:E9Q3T6	Prdm14
uniprot:Q3V2R3	Chn2
uniprot:A2AFQ9	Gemin5
uniprot:Q3TNL8	Itprip
uniprot:B7FAU0	Gprc5c
uniprot:A2CG33	Chrd
uniprot:F6RJ39	Acin1
uniprot:B7ZMP7	Grm5
uniprot:P59270	B3gat2
uniprot:Q62066	Phox2a
uniprot:E9Q8Y9	Lrrtm4
uniprot:Q99N96	Mrpl1
uniprot:Q6NXH8	Mettl25
uniprot:Q8BWM4	Arid4a
uniprot:Q8BXP7	Stard7
uniprot:E9Q428	Rad51d
uniprot:D3YTT9	Zzz3
uniprot:Q3TB82	Plekhf1
uniprot:Q80ZY7	Zfp229
uniprot:Q3TRJ7	Sh3gl1
uniprot:Q9D710	Tmx2
uniprot:P70333	Hnrnph2
uniprot:E0CYI8	Abcg4
uniprot:P35438	Grin1
uniprot:A3KGA5	Cmc4
uniprot:Q9D529	Wbp2nl
uniprot:E9Q6J8	Dmwd
uniprot:Q5SVF9	Thoc5
uniprot:Q9D7B1	Dus2
uniprot:Q64444	Ca4
uniprot:Q3UGU3	Ppat
uniprot:O70311	Nmt2
uniprot:D3Z5S3	Gad1
uniprot:Q545G3	Tcap
uniprot:Q8CB58	Ptbp1
uniprot:Q6NZL6	Tonsl
uniprot:O08970	Tuft1
uniprot:Q3UWB9	Ugt2b5
uniprot:D3Z7L3	Tex30
uniprot:Q5SWQ8	Pex12
uniprot:Q08048	Hgf
uniprot:Q8C5W2	Spata31d1d
uniprot:P54320	Eln
uniprot:B2KFM9	Sox5
uniprot:D3YY53	Nit1
uniprot:E9PUA7	Tpd52
uniprot:A5A9W3	Gli2
uniprot:Q545V6	Sst
uniprot:A2ASM2	Lnpk
uniprot:Q3U289	Golgb1
uniprot:P56376	Acyp1
uniprot:F6XET4	Gm17428
uniprot:F6ZTK6	Dusp12
uniprot:Q9CUB6	Otud1
uniprot:Q8BKL1	Ss18
uniprot:Q3UDR8	Yipf3
uniprot:P55772	Entpd1
uniprot:Q4QQJ7	Loxl1
uniprot:Q3ULT2	Actn4
uniprot:F7CW53	Hfe
uniprot:Q01065	Pde1b
uniprot:Q792Y8	Gm10334
uniprot:Q8C5P6	Ikzf1
uniprot:C5NTX9	Neu4
uniprot:Q3TAU7	Copa
uniprot:Q8BP10	Gtf2ird1
uniprot:Q9D5R2	Wdr20
uniprot:Q32M07	Ak8
uniprot:Q3UD93	Fbxo7
uniprot:Q4FJJ9	Mx1
uniprot:A1X3U7	Gas8
uniprot:Q69ZD9	Gnb1l
uniprot:Q0VGT3	Pogz
uniprot:Q921P3	H2-K1
uniprot:Q8R2I5	Defb15
uniprot:Q6IFX2	Krt42
uniprot:Q8R4K2	Irak4
uniprot:E9QAH2	Zfp605
uniprot:Q7TT16	Ipmk
uniprot:Q61312	Tfap2c
uniprot:F6QFD1	Pde4d
uniprot:A2AJK6	Chd7
uniprot:Q3V1N1	Mfhas1
uniprot:Q3UKU3	Mageh1
uniprot:Q9D7R3	Lipn
uniprot:Q9D3W4	Gpn3
uniprot:Q31093	H2-M3
uniprot:Q6P1H6	Ankle2
uniprot:A2AEV2	Wdr45
uniprot:A2BFE8	Prrg1
uniprot:P0CW02	Ly6c1
uniprot:D3YU12	Nmral1
uniprot:Q6NVH0	Tvp23a
