From	To
SNAI1_MOUSE	Snai1
SNAI2_MOUSE	Snai2
SOX10_MOUSE	Sox10
SOX11_MOUSE	Sox11
SOX2_MOUSE	Sox2
SOX3_MOUSE	Sox3
SOX4_MOUSE	Sox4
SOX6_MOUSE	Sox6
SOX9_MOUSE	Sox9
SP1_MOUSE	Sp1
SP5_MOUSE	Sp5
SP7_MOUSE	Sp7
SPI1_MOUSE	Spi1
SPIB_MOUSE	Spib
SRBP1_MOUSE	Srebf1
SRF_MOUSE	Srf
STA5A_MOUSE	Stat5a
STA5B_MOUSE	Stat5b
STAT1_MOUSE	Stat1
STAT2_MOUSE	Stat2
STAT3_MOUSE	Stat3
STAT4_MOUSE	Stat4
STAT6_MOUSE	Stat6
STF1_MOUSE	Nr5a1
SUH_MOUSE	Rbpj
TAF1_MOUSE	Taf1
TAL1_MOUSE	Tal1
TBPL1_MOUSE	Tbpl1
TBP_MOUSE	Tbp
TBX19_MOUSE	Tbx19
TBX20_MOUSE	Tbx20
TBX21_MOUSE	Tbx21
TBX3_MOUSE	Tbx3
TBX5_MOUSE	Tbx5
TCF7_MOUSE	Tcf7
TEAD1_MOUSE	Tead1
TEAD2_MOUSE	Tead2
TEAD4_MOUSE	Tead4
TET1_MOUSE	Tet1
TF2L1_MOUSE	Tfcp2l1
TF65_MOUSE	Rela
TF7L1_MOUSE	Tcf7l1
TF7L2_MOUSE	Tcf7l2
TFE2_MOUSE	Tcf3
TFE3_MOUSE	Tfe3
TGIF1_MOUSE	Tgif1
THA11_MOUSE	Thap11
THA_MOUSE	Thra
THB_MOUSE	Thrb
TLX1_MOUSE	Tlx1
TWST1_MOUSE	Twist1
TYY1_MOUSE	Yy1
UBF1_MOUSE	Ubtf
USF1_MOUSE	Usf1
USF2_MOUSE	Usf2
UTF1_MOUSE	Utf1
VDR_MOUSE	Vdr
VSX2_MOUSE	Vsx2
WIZ_MOUSE	Wiz
WT1_MOUSE	Wt1
ZBT17_MOUSE	Zbtb17
ZFP42_MOUSE	Zfp42
ZFP57_MOUSE	Zfp57
ZFX_MOUSE	Zfx
ZIC1_MOUSE	Zic1
ZIC2_MOUSE	Zic2
ZIC3_MOUSE	Zic3
ZKSC1_MOUSE	Zkscan1
ZN143_MOUSE	Znf143
ZN281_MOUSE	Znf281
ZN322_MOUSE	Znf322
ZN335_MOUSE	Znf335
ZN431_MOUSE	Znf431
