From	To
G3X8Q1	ENSMUSG00000020196
Q00420	ENSMUSG00000027361
Q9EPR5	ENSMUSG00000029093
Q6WBX7	ENSMUSG00000038569
Q9CQ21	ENSMUSG00000042814
A2A592	ENSMUSG00000078132
E9PWL1	ENSMUSG00000020866
Q61574	ENSMUSG00000074676
D3YUR8	ENSMUSG00000021252
F6UVU0	ENSMUSG00000022272
P48320	ENSMUSG00000026787
A2AHZ2	ENSMUSG00000040749
Q8BL06	ENSMUSG00000034235
G5E8B0	ENSMUSG00000037801
Q3U3Q1	ENSMUSG00000032308
Q3SYK4	ENSMUSG00000071235
Q8BV14	ENSMUSG00000049985
A2AUM9	ENSMUSG00000068394
Q3U699	ENSMUSG00000020284
E0CYR2	ENSMUSG00000040669
Q8BK63	ENSMUSG00000024576
Q9QZU3	ENSMUSG00000047953
Q3USD9	ENSMUSG00000039701
O88566	ENSMUSG00000000142
E9PUE0	ENSMUSG00000043687
P70428	ENSMUSG00000027198
O88632	ENSMUSG00000034684
Q7TQD7	ENSMUSG00000018417
B8JJA4	ENSMUSG00000019578
Q8BUB6	ENSMUSG00000047712
G3XA07	ENSMUSG00000033200
D6RJL8	ENSMUSG00000020057
D3Z1M7	ENSMUSG00000022973
A2AJ30	ENSMUSG00000047617
P56198	ENSMUSG00000030278
Q0KL01	ENSMUSG00000028243
Q7TNW3	ENSMUSG00000021768
Q6PAQ9	ENSMUSG00000033361
Q8R0N9	ENSMUSG00000039199
A2ADF2	ENSMUSG00000006219
Q3TWC1	ENSMUSG00000026821
Q9D034	ENSMUSG00000020611
O70238	ENSMUSG00000006200
Q3TPC3	ENSMUSG00000074802
Q8BFW3	ENSMUSG00000046062
O88186	ENSMUSG00000030054
E9QP01	ENSMUSG00000005442
E9PXA2	ENSMUSG00000037885
Q9DBS2	ENSMUSG00000029030
F6WIZ2	ENSMUSG00000042625
Q5SXS3	ENSMUSG00000018217
Q5SXG3	ENSMUSG00000020827
D3YVW5	ENSMUSG00000020566
E9Q7V6	ENSMUSG00000004347
Q80Z71	ENSMUSG00000026725
Q570Y9	ENSMUSG00000022419
E9Q4J9	ENSMUSG00000057899
Q9DCG9	ENSMUSG00000038812
Q0P5W1	ENSMUSG00000033653
Q9D9K3	ENSMUSG00000003604
Q64176	ENSMUSG00000061959
Q922M7	ENSMUSG00000010290
Q62361	ENSMUSG00000005892
Q8BWM0	ENSMUSG00000026820
E9QPU5	ENSMUSG00000021872
A2A4P5	ENSMUSG00000097487
F6R0V7	ENSMUSG00000024909
P22724	ENSMUSG00000036856
Q8R1R3	ENSMUSG00000027367
D3Z275	ENSMUSG00000029998
E9Q8M9	ENSMUSG00000026482
Q9D4H8	ENSMUSG00000024231
Q3TDX8	ENSMUSG00000032872
Q8C6B0	ENSMUSG00000054619
F8VQG7	ENSMUSG00000037795
Q3URR0	ENSMUSG00000075266
E0CYN0	ENSMUSG00000050103
Q8CHG5	ENSMUSG00000042350
Q9D6K9	ENSMUSG00000023021
Q8BHR8	ENSMUSG00000040591
Q8VHI3	ENSMUSG00000020260
Q60848	ENSMUSG00000025001
P15920	ENSMUSG00000038023
Q64HY3	ENSMUSG00000068859
F8VPU8	ENSMUSG00000078435
Q9D2A8	ENSMUSG00000021360
G3UYI6	ENSMUSG00000092210
Q8VHK8	ENSMUSG00000061259
Q8R1G2	ENSMUSG00000022235
Q5GLZ0	ENSMUSG00000067229
P01216	ENSMUSG00000028298
Q3TWV4	ENSMUSG00000022841
Q9EQF2	ENSMUSG00000029866
Q9D405	ENSMUSG00000030929
Q9D6J4	ENSMUSG00000027489
A2AQP0	ENSMUSG00000074652
Q8BIG4	ENSMUSG00000047539
A2RSY1	ENSMUSG00000010453
Q64302	ENSMUSG00000027800
B7ZCC2	ENSMUSG00000012123
O70578	ENSMUSG00000020722
Q8BY71	ENSMUSG00000027018
E9PY16	ENSMUSG00000056413
Q60935	ENSMUSG00000030996
B2RUC1	ENSMUSG00000000296
Q9Z1Q3	ENSMUSG00000073413
Q8BZ17	ENSMUSG00000055560
G3XA46	ENSMUSG00000031387
G3X9S2	ENSMUSG00000037370
F8WHJ2	ENSMUSG00000040464
Q6ZWZ2	ENSMUSG00000036241
E9Q411	ENSMUSG00000020576
F8WGM5	ENSMUSG00000004626
D3YZJ2	ENSMUSG00000050335
Q3TZS1	ENSMUSG00000062175
Q9D6Z1	ENSMUSG00000027405
Q9D518	ENSMUSG00000027209
D6RDE6	ENSMUSG00000038695
D3Z6G7	ENSMUSG00000058728
Q8C0S2	ENSMUSG00000051611
Q8BHJ5	ENSMUSG00000027630
Q5RJY2	ENSMUSG00000035293
Q9D638	ENSMUSG00000069721
Q9D638	ENSMUSG00000069722
Q8N9S3	ENSMUSG00000020288
E9Q8Q1	ENSMUSG00000052139
A2ARK0	ENSMUSG00000074647
A2AJ21	ENSMUSG00000015094
Q7TPD2	ENSMUSG00000047221
Q8C2R4	ENSMUSG00000003166
D3Z3G3	ENSMUSG00000040231
Q8R0J2	ENSMUSG00000018761
Q9D0D3	ENSMUSG00000024234
O08852	ENSMUSG00000032855
B1AQX9	ENSMUSG00000038453
Q8BWU3	ENSMUSG00000050821
P80560	ENSMUSG00000056553
A2AMC3	ENSMUSG00000046020
Q3U6B2	ENSMUSG00000051212
P24699	ENSMUSG00000000435
G3X8S0	ENSMUSG00000010796
D3Z7E3	ENSMUSG00000044716
P58404	ENSMUSG00000030374
Q9DCM0	ENSMUSG00000064254
A2AMM0	ENSMUSG00000028348
F7BZR8	ENSMUSG00000003534
Q99NF7	ENSMUSG00000061130
F8WID5	ENSMUSG00000032366
Q9D995	ENSMUSG00000078653
Q8K4D7	ENSMUSG00000030230
A2A5R6	ENSMUSG00000039501
Q9D4K5	ENSMUSG00000026969
Q3TVP5	ENSMUSG00000056069
F8WIJ8	ENSMUSG00000021772
Q9DB52	ENSMUSG00000074922
O55229	ENSMUSG00000022617
P62482	ENSMUSG00000028931
A2AQA7	ENSMUSG00000040383
Q8BJ45	ENSMUSG00000051341
P63268	ENSMUSG00000059430
Q9CR04	ENSMUSG00000040456
D3Z3J6	ENSMUSG00000025451
Q9CQZ1	ENSMUSG00000031839
Q8CCA5	ENSMUSG00000050982
O35295	ENSMUSG00000094483
Q9CQY9	ENSMUSG00000037152
D3Z5F8	ENSMUSG00000071477
Q8BN51	ENSMUSG00000035824
Q922H2	ENSMUSG00000035232
Q61733	ENSMUSG00000031533
Q9R216	ENSMUSG00000049551
Q91W36	ENSMUSG00000032376
F6RGN1	ENSMUSG00000034586
A9P6P9	ENSMUSG00000007591
B9EJ75	ENSMUSG00000036833
F6Z4B2	ENSMUSG00000029478
Q9CWR1	ENSMUSG00000025722
A2AGW8	ENSMUSG00000046435
Q3TYV0	ENSMUSG00000029503
Q8CHW5	ENSMUSG00000043782
G5E885	ENSMUSG00000032251
A2AG83	ENSMUSG00000031429
Q8R4I4	ENSMUSG00000024154
F2Z3W3	ENSMUSG00000020282
Q8BJN4	ENSMUSG00000048721
Q99N04	ENSMUSG00000024672
B2FDH3	ENSMUSG00000038718
Q8VH51	ENSMUSG00000027620
Q3UD61	ENSMUSG00000000386
O08599	ENSMUSG00000026797
Q8VDD5	ENSMUSG00000022443
A2AUR5	ENSMUSG00000026730
Q91W40	ENSMUSG00000040714
D6RFQ6	ENSMUSG00000027601
D3Z5E5	ENSMUSG00000059820
Q7TN05	ENSMUSG00000054702
P47945	ENSMUSG00000031757
E9QMX6	ENSMUSG00000059934
Q8K0T2	ENSMUSG00000024253
Q02862	ENSMUSG00000061937
Q5ND28	ENSMUSG00000038188
D3Z7U0	ENSMUSG00000021866
Q920H1	ENSMUSG00000038791
B1AXF6	ENSMUSG00000028766
Q3UST5	ENSMUSG00000051669
A6PWC1	ENSMUSG00000057977
B0QZT9	ENSMUSG00000020409
A2AFN3	ENSMUSG00000025272
O35638	ENSMUSG00000025862
Q80XR5	ENSMUSG00000030435
B7ZWG4	ENSMUSG00000073399
D6RG69	ENSMUSG00000024018
P63143	ENSMUSG00000027827
Q8R070	ENSMUSG00000024036
Q9CZ91	ENSMUSG00000024528
Q3TA30	ENSMUSG00000031229
Q6P9S0	ENSMUSG00000033763
Q8BM72	ENSMUSG00000032932
G5E8E4	ENSMUSG00000052676
P11152	ENSMUSG00000015568
E0CZ08	ENSMUSG00000032503
P41139	ENSMUSG00000021379
E9PZ59	ENSMUSG00000056234
Q3TVI8	ENSMUSG00000042613
D3YY42	ENSMUSG00000030588
A2AU90	ENSMUSG00000043909
F8WI85	ENSMUSG00000054320
A2A9C8	ENSMUSG00000006392
A2AIS0	ENSMUSG00000004113
B8JJF6	ENSMUSG00000031918
Q3V0X2	ENSMUSG00000073085
A6XA75	ENSMUSG00000023993
A2A6U5	ENSMUSG00000059248
Q80WJ7	ENSMUSG00000022255
D6RHN4	ENSMUSG00000026189
D3Z7S8	ENSMUSG00000033543
E9Q6K3	ENSMUSG00000022064
G3X9Y3	ENSMUSG00000035509
Q7TNC9	ENSMUSG00000025477
E9Q138	ENSMUSG00000020053
B8JJ91	ENSMUSG00000022185
D6REG3	ENSMUSG00000015966
Q8BI74	ENSMUSG00000029093
P67871	ENSMUSG00000024387
Q9CY64	ENSMUSG00000001999
Q8K4P1	ENSMUSG00000044034
E9Q3Q4	ENSMUSG00000066392
Q8C1L2	ENSMUSG00000074832
D3Z7N1	ENSMUSG00000037216
Q9Z320	ENSMUSG00000017588
Q9CXS2	ENSMUSG00000021700
Q3U1C6	ENSMUSG00000026632
D6RH46	ENSMUSG00000020385
Q59IW9	ENSMUSG00000035258
P70704	ENSMUSG00000037685
P28653	ENSMUSG00000031375
D3YWH1	ENSMUSG00000032382
D3YU02	ENSMUSG00000024070
G3UYV9	ENSMUSG00000034254
Q8VEJ3	ENSMUSG00000031535
Q920Q6	ENSMUSG00000069769
Q9ERF6	ENSMUSG00000048450
A2AGJ9	ENSMUSG00000027130
A2AUT4	ENSMUSG00000005233
A2ANC1	ENSMUSG00000037902
D3YZ50	ENSMUSG00000033152
E9QLI9	ENSMUSG00000054385
Q9CWB7	ENSMUSG00000024592
O08738	ENSMUSG00000027997
Q6PFB2	ENSMUSG00000028896
E9PXZ1	ENSMUSG00000023990
Q9CQ74	ENSMUSG00000031513
B8JJE4	ENSMUSG00000039087
A2AMS8	ENSMUSG00000073888
Q3V140	ENSMUSG00000072770
D3Z4X8	ENSMUSG00000033688
D3YV68	ENSMUSG00000062609
Q9CR80	ENSMUSG00000003039
Q03160	ENSMUSG00000019312
Q8BU90	ENSMUSG00000044265
E9Q778	ENSMUSG00000028560
G3XA24	ENSMUSG00000060560
Q2KHL7	ENSMUSG00000032174
O35206	ENSMUSG00000028339
Q8BGN2	ENSMUSG00000025766
G3X961	ENSMUSG00000040263
D3Z289	ENSMUSG00000042671
D6RH77	ENSMUSG00000027695
Q6A0A9	ENSMUSG00000038014
P55065	ENSMUSG00000017754
D3YZP9	ENSMUSG00000048701
D3Z7B8	ENSMUSG00000058806
P28028	ENSMUSG00000002413
P29974	ENSMUSG00000067220
A2AW73	ENSMUSG00000027200
Q9WV18	ENSMUSG00000024462
D3Z7Q4	ENSMUSG00000054435
Q3UVT7	ENSMUSG00000033377
Q8VIB5	ENSMUSG00000034384
Q6IFX4	ENSMUSG00000064165
D6RGA2	ENSMUSG00000020437
Q8BVI5	ENSMUSG00000027522
D6RCY1	ENSMUSG00000025572
Q9WVL0	ENSMUSG00000021033
Q8BS54	ENSMUSG00000042408
P35330	ENSMUSG00000001029
F8WIA3	ENSMUSG00000041716
Q91W96	ENSMUSG00000029176
F8WI56	ENSMUSG00000020231
E9QQ90	ENSMUSG00000024985
Q3ULB5	ENSMUSG00000074923
F6QJ09	ENSMUSG00000067292
P31316	ENSMUSG00000035946
Q8CCS6	ENSMUSG00000022194
Q3ULF2	ENSMUSG00000001228
E9QK94	ENSMUSG00000061601
Q99JG2	ENSMUSG00000026424
Q8C4A0	ENSMUSG00000043144
D3YUC5	ENSMUSG00000061175
Q8CIV7	ENSMUSG00000037279
B8JJ61	ENSMUSG00000073412
Q61469	ENSMUSG00000021759
Q6PIX5	ENSMUSG00000020282
Q3V4B5	ENSMUSG00000075486
Q60714	ENSMUSG00000031808
G3UXP4	ENSMUSG00000016933
P52592	ENSMUSG00000043895
Q32KI9	ENSMUSG00000036412
E9Q7R2	ENSMUSG00000052613
E0CYF7	ENSMUSG00000044005
D6RCI5	ENSMUSG00000031889
Q5NCU3	ENSMUSG00000018593
Q8BFW7	ENSMUSG00000033306
P32848	ENSMUSG00000005716
Q64104	ENSMUSG00000019803
Q7TQ50	ENSMUSG00000026923
Q9EQU5	ENSMUSG00000054766
A3FIN4	ENSMUSG00000028457
Q9CY05	ENSMUSG00000006392
P60003	ENSMUSG00000013822
D3Z5Q8	ENSMUSG00000056296
D3Z709	ENSMUSG00000003279
Q8BP47	ENSMUSG00000024587
D3Z2I9	ENSMUSG00000060807
Q91VF6	ENSMUSG00000004415
Q8BHC9	ENSMUSG00000039357
O54972	ENSMUSG00000006362
G3X9Y1	ENSMUSG00000030731
Q7M729	ENSMUSG00000046480
Q0PL81	ENSMUSG00000018449
Q9D6R3	ENSMUSG00000049593
Q8BIY1	ENSMUSG00000028850
Q8R1T1	ENSMUSG00000034190
D6RFB6	ENSMUSG00000039754
A2AMW3	ENSMUSG00000031340
Q60760	ENSMUSG00000020176
F8VQ46	ENSMUSG00000027908
P00687	ENSMUSG00000074264
O08675	ENSMUSG00000021675
Q9D9D8	ENSMUSG00000025043
Q920S2	ENSMUSG00000024114
Q05AC5	ENSMUSG00000027157
D6RFC3	ENSMUSG00000027472
Q9D3D9	ENSMUSG00000003072
E9Q7A7	ENSMUSG00000011960
Q8CGP2	ENSMUSG00000069308
O70555	ENSMUSG00000042212
Q91VY9	ENSMUSG00000052253
E0CZC6	ENSMUSG00000039153
Q68FM4	ENSMUSG00000033278
E0CXI3	ENSMUSG00000004894
P14231	ENSMUSG00000041329
A2AEI7	ENSMUSG00000058252
E9Q0L2	ENSMUSG00000022899
D6RI18	ENSMUSG00000021645
Q9CX97	ENSMUSG00000042660
Q14C45	ENSMUSG00000030008
Q922H9	ENSMUSG00000031711
B1AWH2	ENSMUSG00000035495
E9Q3T6	ENSMUSG00000042414
Q3V2R3	ENSMUSG00000004633
A2AFQ9	ENSMUSG00000037275
Q3TNL8	ENSMUSG00000117975
B7FAU0	ENSMUSG00000051043
A2CG33	ENSMUSG00000006958
F6RJ39	ENSMUSG00000022185
P59270	ENSMUSG00000026156
Q62066	ENSMUSG00000007946
E9Q8Y9	ENSMUSG00000052581
Q99N96	ENSMUSG00000029486
Q8BXP7	ENSMUSG00000027367
E9Q428	ENSMUSG00000018841
D3YTT9	ENSMUSG00000039068
Q3TB82	ENSMUSG00000074170
Q9D710	ENSMUSG00000050043
P70333	ENSMUSG00000045427
E0CYI8	ENSMUSG00000032131
P35438	ENSMUSG00000026959
Q9D529	ENSMUSG00000022455
E9Q6J8	ENSMUSG00000030410
Q5SVF9	ENSMUSG00000034274
Q9D7B1	ENSMUSG00000031901
Q64444	ENSMUSG00000000805
O70311	ENSMUSG00000026643
D3Z5S3	ENSMUSG00000070880
Q8CB58	ENSMUSG00000006498
O08970	ENSMUSG00000005968
D3Z7L3	ENSMUSG00000026049
Q08048	ENSMUSG00000028864
P54320	ENSMUSG00000029675
B2KFM9	ENSMUSG00000041540
D3YY53	ENSMUSG00000013997
E9PUA7	ENSMUSG00000027506
A2ASM2	ENSMUSG00000009207
P56376	ENSMUSG00000008822
F6XET4	ENSMUSG00000090889
F6ZTK6	ENSMUSG00000026659
Q9CUB6	ENSMUSG00000043415
Q8BKL1	ENSMUSG00000037013
Q3UDR8	ENSMUSG00000071074
P55772	ENSMUSG00000048120
F7CW53	ENSMUSG00000006611
Q01065	ENSMUSG00000022489
Q792Y8	ENSMUSG00000071517
Q9D5R2	ENSMUSG00000035560
Q32M07	ENSMUSG00000026807
Q3UD93	ENSMUSG00000001786
Q0VGT3	ENSMUSG00000038902
Q8R2I5	ENSMUSG00000048500
Q6IFX2	ENSMUSG00000053654
Q8R4K2	ENSMUSG00000059883
E9QAH2	ENSMUSG00000023284
Q7TT16	ENSMUSG00000060733
Q61312	ENSMUSG00000028640
F6QFD1	ENSMUSG00000021699
A2AJK6	ENSMUSG00000041235
Q3V1N1	ENSMUSG00000070056
Q9D3W4	ENSMUSG00000029464
Q31093	ENSMUSG00000016206
Q6P1H6	ENSMUSG00000029501
A2AEV2	ENSMUSG00000039382
A2BFE8	ENSMUSG00000047996
P0CW02	ENSMUSG00000079018
D3YU12	ENSMUSG00000063445
Q6NVH0	ENSMUSG00000050908
Q920A5	ENSMUSG00000000278
Q8BPQ2	ENSMUSG00000000078
Q62141	ENSMUSG00000031622
Q5SV80	ENSMUSG00000020527
A2AMQ7	ENSMUSG00000050558
Q8BJQ4	ENSMUSG00000056130
Q9R1N9	ENSMUSG00000058806
G3UX88	ENSMUSG00000024856
E9Q2D4	ENSMUSG00000045382
Q9QXW4	ENSMUSG00000029707
Q9CYF5	ENSMUSG00000061979
Q63918	ENSMUSG00000045954
B1AT88	ENSMUSG00000061878
Q61820	ENSMUSG00000083649
Q3V1S8	ENSMUSG00000056380
Q8BZE4	ENSMUSG00000030203
D3YTS2	ENSMUSG00000036377
P98084	ENSMUSG00000030519
P17095	ENSMUSG00000078249
P17095	ENSMUSG00000046711
Q8K3A2	ENSMUSG00000047656
D3Z3H3	ENSMUSG00000047867
Q8BTM9	ENSMUSG00000030589
B1ATD5	ENSMUSG00000034354
Q9R045	ENSMUSG00000004105
A2A9R5	ENSMUSG00000028546
Q0VEK2	ENSMUSG00000030865
Q02257	ENSMUSG00000001552
Q80Y74	ENSMUSG00000053508
B1AWM4	ENSMUSG00000028571
F8VQC6	ENSMUSG00000022056
Q3UX37	ENSMUSG00000040624
Q68EF0	ENSMUSG00000064181
P04370	ENSMUSG00000041607
Q1JPR3	ENSMUSG00000040828
E9QKU6	ENSMUSG00000021209
B2RR88	ENSMUSG00000091764
Q9DBU2	ENSMUSG00000005982
E0CXF5	ENSMUSG00000021977
Q91WM0	ENSMUSG00000066880
Q64373	ENSMUSG00000007659
D4AFX6	ENSMUSG00000049076
Q08ED0	ENSMUSG00000044165
Q9QZR0	ENSMUSG00000026171
D3YXA7	ENSMUSG00000027953
D3Z479	ENSMUSG00000024787
A2ATR9	ENSMUSG00000027078
F2Z467	ENSMUSG00000017003
D3Z4F8	ENSMUSG00000023927
Q3TPK1	ENSMUSG00000029563
Q3TNW5	ENSMUSG00000073408
Q80UC6	ENSMUSG00000091735
Q8BX43	ENSMUSG00000008318
Q8BJL1	ENSMUSG00000047648
B1ARJ9	ENSMUSG00000040592
Q11011	ENSMUSG00000001441
Q8BGF3	ENSMUSG00000078970
Q61200	ENSMUSG00000046178
Q8R1B8	ENSMUSG00000036192
Q499X9	ENSMUSG00000046994
Q8K273	ENSMUSG00000061273
Q6AXH7	ENSMUSG00000029687
D3YV43	ENSMUSG00000030744
A8Y5I6	ENSMUSG00000020305
P18918	ENSMUSG00000056457
D6RIN0	ENSMUSG00000030263
G5E850	ENSMUSG00000024646
D3Z641	ENSMUSG00000028152
Q3ULQ2	ENSMUSG00000074997
Q9JMF3	ENSMUSG00000025739
Q61137	ENSMUSG00000026587
Q9JHQ5	ENSMUSG00000025245
Q3UUJ4	ENSMUSG00000069631
E9Q990	ENSMUSG00000024985
Q50HX3	ENSMUSG00000026878
Q64385	ENSMUSG00000073889
Q6A078	ENSMUSG00000019971
Q9JM52	ENSMUSG00000020827
P19182	ENSMUSG00000001627
Q3TTL3	ENSMUSG00000021007
Q01727	ENSMUSG00000074037
P56654	ENSMUSG00000042248
B7ZWI3	ENSMUSG00000075610
D3Z715	ENSMUSG00000004535
Q9D799	ENSMUSG00000059183
P61375	ENSMUSG00000029595
Q3TRE6	ENSMUSG00000022150
P27048	ENSMUSG00000027404
E9Q5V9	ENSMUSG00000038542
E0CX86	ENSMUSG00000033400
D3Z7R0	ENSMUSG00000030802
P62814	ENSMUSG00000006273
D3Y273	ENSMUSG00000021733
G5E8J0	ENSMUSG00000027878
A2A7U0	ENSMUSG00000043872
Q91YM4	ENSMUSG00000000384
Q922H1	ENSMUSG00000030505
O08532	ENSMUSG00000040118
Q8K2T4	ENSMUSG00000071654
F6TW20	ENSMUSG00000005610
B1AZF9	ENSMUSG00000025375
P35582	ENSMUSG00000035451
P08882	ENSMUSG00000079186
Q569X9	ENSMUSG00000062624
Q80TE9	ENSMUSG00000057133
A2ALL3	ENSMUSG00000070661
F8SLP9	ENSMUSG00000027674
Q9ES46	ENSMUSG00000022438
P39054	ENSMUSG00000033335
Q3TB02	ENSMUSG00000038982
F8WII3	ENSMUSG00000078919
Q60841	ENSMUSG00000042453
Q08619	ENSMUSG00000073489
Q08619	ENSMUSG00000026536
Q8CE93	ENSMUSG00000039508
Q6PEB4	ENSMUSG00000026096
P61971	ENSMUSG00000008450
P61971	ENSMUSG00000071497
Q3UN70	ENSMUSG00000034057
