From	To
FER3L_HUMAN	FERD3L
FEV_HUMAN	FEV
FEZF1_HUMAN	FEZF1
FLI1_HUMAN	FLI1
FOSB_HUMAN	FOSB
FOSL1_HUMAN	FOSL1
FOSL2_HUMAN	FOSL2
FOS_HUMAN	FOS
FOXA1_HUMAN	FOXA1
FOXA2_HUMAN	FOXA2
FOXC1_HUMAN	FOXC1
FOXD2_HUMAN	FOXD2
FOXF1_HUMAN	FOXF1
FOXF2_HUMAN	FOXF2
FOXG1_HUMAN	FOXG1
FOXH1_HUMAN	FOXH1
FOXJ2_HUMAN	FOXJ2
FOXK1_HUMAN	FOXK1
FOXK2_HUMAN	FOXK2
FOXM1_HUMAN	FOXM1
FOXO1_HUMAN	FOXO1
FOXO3_HUMAN	FOXO3
FOXO4_HUMAN	FOXO4
FOXP1_HUMAN	FOXP1
FOXP2_HUMAN	FOXP2
FOXP3_HUMAN	FOXP3
FOXQ1_HUMAN	FOXQ1
GABPA_HUMAN	GABPA
GATA1_HUMAN	GATA1
GATA2_HUMAN	GATA2
GATA3_HUMAN	GATA3
GATA4_HUMAN	GATA4
GATA6_HUMAN	GATA6
GATD1_HUMAN	GATAD1
GCR_HUMAN	NR3C1
GFI1B_HUMAN	GFI1B
GLI1_HUMAN	GLI1
GLI2_HUMAN	GLI2
GLI3_HUMAN	GLI3
GLI4_HUMAN	GLI4
GLIS1_HUMAN	GLIS1
GLIS2_HUMAN	GLIS2
GLIS3_HUMAN	GLIS3
GMEB1_HUMAN	GMEB1
GMEB2_HUMAN	GMEB2
GRHL1_HUMAN	GRHL1
GRHL2_HUMAN	GRHL2
GZF1_HUMAN	GZF1
HAND1_HUMAN	HAND1
HBP1_HUMAN	HBP1
HEN1_HUMAN	NHLH1
HES1_HUMAN	HES1
HES2_HUMAN	HES2
HES4_HUMAN	HES4
HES5_HUMAN	HES5
HES7_HUMAN	HES7
HESX1_HUMAN	HESX1
HEY1_HUMAN	HEY1
HEYL_HUMAN	HEYL
HHEX_HUMAN	HHEX
HIC2_HUMAN	HIC2
HIF1A_HUMAN	HIF1A
HIF3A_HUMAN	HIF3A
HINFP_HUMAN	HINFP
HMBX1_HUMAN	HMBOX1
HMGA1_HUMAN	HMGA1
HNF1A_HUMAN	HNF1A
HNF1B_HUMAN	HNF1B
HNF4A_HUMAN	HNF4A
HNF4G_HUMAN	HNF4G
HSF1_HUMAN	HSF1
HSF2_HUMAN	HSF2
HSF4_HUMAN	HSF4
HTF4_HUMAN	TCF12
HXA10_HUMAN	HOXA10
HXA11_HUMAN	HOXA11
HXA13_HUMAN	HOXA13
HXA1_HUMAN	HOXA1
HXA2_HUMAN	HOXA2
HXA4_HUMAN	HOXA4
HXA5_HUMAN	HOXA5
HXA6_HUMAN	HOXA6
HXA7_HUMAN	HOXA7
HXA9_HUMAN	HOXA9
HXB13_HUMAN	HOXB13
HXB1_HUMAN	HOXB1
HXB2_HUMAN	HOXB2
HXB4_HUMAN	HOXB4
HXB5_HUMAN	HOXB5
HXB6_HUMAN	HOXB6
HXB7_HUMAN	HOXB7
HXB8_HUMAN	HOXB8
HXC11_HUMAN	HOXC11
HXC13_HUMAN	HOXC13
HXC6_HUMAN	HOXC6
HXC8_HUMAN	HOXC8
HXC9_HUMAN	HOXC9
HXD11_HUMAN	HOXD11
HXD13_HUMAN	HOXD13
HXD1_HUMAN	HOXD1
HXD4_HUMAN	HOXD4
HXD9_HUMAN	HOXD9
ID1_HUMAN	ID1
ID2_HUMAN	ID2
ID3_HUMAN	ID3
ID4_HUMAN	ID4
IKZF1_HUMAN	IKZF1
IKZF5_HUMAN	IKZF5
IRF1_HUMAN	IRF1
IRF2_HUMAN	IRF2
IRF3_HUMAN	IRF3
IRF4_HUMAN	IRF4
IRF5_HUMAN	IRF5
IRF8_HUMAN	IRF8
IRF9_HUMAN	IRF9
IRX2_HUMAN	IRX2
IRX3_HUMAN	IRX3
IRX5_HUMAN	IRX5
ISL1_HUMAN	ISL1
ISL2_HUMAN	ISL2
ITF2_HUMAN	TCF4
JARD2_HUMAN	JARID2
JDP2_HUMAN	JDP2
JUNB_HUMAN	JUNB
JUND_HUMAN	JUND
JUN_HUMAN	JUN
KAISO_HUMAN	ZBTB33
KAT5_HUMAN	KAT5
KAT7_HUMAN	KAT7
KDM5A_HUMAN	KDM5A
KDM5B_HUMAN	KDM5B
KDM5C_HUMAN	KDM5C
KDM5D_HUMAN	KDM5D
KLF10_HUMAN	KLF10
KLF11_HUMAN	KLF11
KLF12_HUMAN	KLF12
KLF13_HUMAN	KLF13
KLF15_HUMAN	KLF15
KLF1_HUMAN	KLF1
KLF3_HUMAN	KLF3
KLF4_HUMAN	KLF4
KLF5_HUMAN	KLF5
KLF6_HUMAN	KLF6
KLF7_HUMAN	KLF7
KLF9_HUMAN	KLF9
KMT2A_HUMAN	KMT2A
KMT2B_HUMAN	KMT2B
LEF1_HUMAN	LEF1
LHX2_HUMAN	LHX2
LHX3_HUMAN	LHX3
LHX4_HUMAN	LHX4
LHX5_HUMAN	LHX5
LHX6_HUMAN	LHX6
LMX1B_HUMAN	LMX1B
LYL1_HUMAN	LYL1
MAD1_HUMAN	MXD1
MAD3_HUMAN	MXD3
MAFB_HUMAN	MAFB
MAFF_HUMAN	MAFF
MAFG_HUMAN	MAFG
MAFK_HUMAN	MAFK
MAF_HUMAN	MAF
MAX_HUMAN	MAX
MAZ_HUMAN	MAZ
MCR_HUMAN	NR3C2
MEF2A_HUMAN	MEF2A
MEF2B_HUMAN	MEF2B
MEF2C_HUMAN	MEF2C
MEF2D_HUMAN	MEF2D
MEIS1_HUMAN	MEIS1
MEIS2_HUMAN	MEIS2
MEOX2_HUMAN	MEOX2
MITF_HUMAN	MITF
MIXL1_HUMAN	MIXL1
MNT_HUMAN	MNT
MNX1_HUMAN	MNX1
MSX1_HUMAN	MSX1
MSX2_HUMAN	MSX2
MTA3_HUMAN	MTA3
MUSC_HUMAN	MSC
MXI1_HUMAN	MXI1
MYBA_HUMAN	MYBL1
MYBB_HUMAN	MYBL2
MYB_HUMAN	MYB
MYCN_HUMAN	MYCN
MYC_HUMAN	MYC
MYF6_HUMAN	MYF6
MYNN_HUMAN	MYNN
MYOD1_HUMAN	MYOD1
MZF1_HUMAN	MZF1
NANOG_HUMAN	NANOG
NCOA1_HUMAN	NCOA1
NCOA3_HUMAN	NCOA3
NCOR1_HUMAN	NCOR1
NCOR2_HUMAN	NCOR2
NDF1_HUMAN	NEUROD1
NDF2_HUMAN	NEUROD2
NF2L1_HUMAN	NFE2L1
NF2L2_HUMAN	NFE2L2
NF2L3_HUMAN	NFE2L3
NFAC1_HUMAN	NFATC1
NFAC3_HUMAN	NFATC3
NFAC4_HUMAN	NFATC4
NFAT5_HUMAN	NFAT5
NFE2_HUMAN	NFE2
NFIB_HUMAN	NFIB
NFIC_HUMAN	NFIC
NFIL3_HUMAN	NFIL3
NFKB1_HUMAN	NFKB1
NFKB2_HUMAN	NFKB2
NFYA_HUMAN	NFYA
NFYB_HUMAN	NFYB
NFYC_HUMAN	NFYC
NGN3_HUMAN	NEUROG3
NKX21_HUMAN	NKX2-1
NKX22_HUMAN	NKX2-2
NKX23_HUMAN	NKX2-3
NKX25_HUMAN	NKX2-5
NKX28_HUMAN	NKX2-8
NKX31_HUMAN	NKX3-1
NKX61_HUMAN	NKX6-1
NR1D1_HUMAN	NR1D1
NR1H2_HUMAN	NR1H2
NR1H3_HUMAN	NR1H3
NR1I2_HUMAN	NR1I2
NR2C2_HUMAN	NR2C2
NR2E3_HUMAN	NR2E3
NR2F6_HUMAN	NR2F6
NR4A1_HUMAN	NR4A1
NR4A2_HUMAN	NR4A2
NR5A2_HUMAN	NR5A2
NRF1_HUMAN	NRF1
NSD2_HUMAN	NSD2
OSR2_HUMAN	OSR2
OTX1_HUMAN	OTX1
OTX2_HUMAN	OTX2
OVOL2_HUMAN	OVOL2
OZF_HUMAN	ZNF146
P53_HUMAN	TP53
P63_HUMAN	TP63
P66A_HUMAN	GATAD2A
P66B_HUMAN	GATAD2B
P73_HUMAN	TP73
PATZ1_HUMAN	PATZ1
PAX2_HUMAN	PAX2
PAX5_HUMAN	PAX5
PAX6_HUMAN	PAX6
PAX8_HUMAN	PAX8
PBX1_HUMAN	PBX1
PBX2_HUMAN	PBX2
PBX3_HUMAN	PBX3
PDX1_HUMAN	PDX1
PITX1_HUMAN	PITX1
PLAG1_HUMAN	PLAG1
PO2F1_HUMAN	POU2F1
PO2F2_HUMAN	POU2F2
PO3F2_HUMAN	POU3F2
PO5F1_HUMAN	POU5F1
PPARA_HUMAN	PPARA
PPARD_HUMAN	PPARD
PPARG_HUMAN	PPARG
PRD14_HUMAN	PRDM14
PRDM1_HUMAN	PRDM1
PRDM4_HUMAN	PRDM4
PRDM6_HUMAN	PRDM6
PRGR_HUMAN	PGR
PROX1_HUMAN	PROX1
RARA_HUMAN	RARA
RARG_HUMAN	RARG
RAX2_HUMAN	RAX2
RBAK_HUMAN	RBAK
RCOR1_HUMAN	RCOR1
RELB_HUMAN	RELB
REST_HUMAN	REST
RFX1_HUMAN	RFX1
RFX2_HUMAN	RFX2
RFX5_HUMAN	RFX5
RFX7_HUMAN	RFX7
RLF_HUMAN	RLF
RORA_HUMAN	RORA
RUNX1_HUMAN	RUNX1
RUNX2_HUMAN	RUNX2
RUNX3_HUMAN	RUNX3
RXRA_HUMAN	RXRA
SALL4_HUMAN	SALL4
SATB1_HUMAN	SATB1
SCRT1_HUMAN	SCRT1
SFPQ_HUMAN	SFPQ
SIX1_HUMAN	SIX1
SIX2_HUMAN	SIX2
SIX5_HUMAN	SIX5
SMAD1_HUMAN	SMAD1
SMAD2_HUMAN	SMAD2
SMAD3_HUMAN	SMAD3
SMAD4_HUMAN	SMAD4
SMAD5_HUMAN	SMAD5
SMCA1_HUMAN	SMARCA1
SMCA5_HUMAN	SMARCA5
SMRC1_HUMAN	SMARCC1
SMRC2_HUMAN	SMARCC2
SNAI1_HUMAN	SNAI1
SNAI2_HUMAN	SNAI2
SNPC4_HUMAN	SNAPC4
SOX10_HUMAN	SOX10
SOX11_HUMAN	SOX11
SOX15_HUMAN	SOX15
SOX17_HUMAN	SOX17
SOX2_HUMAN	SOX2
SOX3_HUMAN	SOX3
SOX4_HUMAN	SOX4
SOX9_HUMAN	SOX9
SP1_HUMAN	SP1
SP2_HUMAN	SP2
SP3_HUMAN	SP3
SP4_HUMAN	SP4
SPDEF_HUMAN	SPDEF
SPI1_HUMAN	SPI1
SPIB_HUMAN	SPIB
SRBP1_HUMAN	SREBF1
SRBP2_HUMAN	SREBF2
SRF_HUMAN	SRF
STA5A_HUMAN	STAT5A
STA5B_HUMAN	STAT5B
STAT1_HUMAN	STAT1
STAT2_HUMAN	STAT2
STAT3_HUMAN	STAT3
STAT4_HUMAN	STAT4
STAT6_HUMAN	STAT6
STF1_HUMAN	NR5A1
SUH_HUMAN	RBPJ
TAF1_HUMAN	TAF1
TAL1_HUMAN	TAL1
TBPL1_HUMAN	TBPL1
TBP_HUMAN	TBP
TBX21_HUMAN	TBX21
TBX3_HUMAN	TBX3
TCF7_HUMAN	TCF7
TCFL5_HUMAN	TCFL5
TEAD1_HUMAN	TEAD1
TEAD2_HUMAN	TEAD2
TEAD4_HUMAN	TEAD4
TF3A_HUMAN	GTF3A
TF65_HUMAN	RELA
TF7L1_HUMAN	TCF7L1
TF7L2_HUMAN	TCF7L2
TFAM_HUMAN	TFAM
TFAP4_HUMAN	TFAP4
TFCP2_HUMAN	TFCP2
TFDP1_HUMAN	TFDP1
TFDP2_HUMAN	TFDP2
TFE2_HUMAN	TCF3
TFE3_HUMAN	TFE3
TFEB_HUMAN	TFEB
TGIF1_HUMAN	TGIF1
THA11_HUMAN	THAP11
THAP1_HUMAN	THAP1
THAP4_HUMAN	THAP4
TLX1_HUMAN	TLX1
TOX4_HUMAN	TOX4
TSH1_HUMAN	TSHZ1
TWST1_HUMAN	TWIST1
TYY1_HUMAN	YY1
UBF1_HUMAN	UBTF
UBIP1_HUMAN	UBP1
USF1_HUMAN	USF1
USF2_HUMAN	USF2
VDR_HUMAN	VDR
VEZF1_HUMAN	VEZF1
WIZ_HUMAN	WIZ
XBP1_HUMAN	XBP1
YBOX1_HUMAN	YBX1
YBOX3_HUMAN	YBX3
Z280A_HUMAN	ZNF280A
Z280D_HUMAN	ZNF280D
Z324A_HUMAN	ZNF324
Z354A_HUMAN	ZNF354A
ZBED4_HUMAN	ZBED4
ZBT12_HUMAN	ZBTB12
ZBT14_HUMAN	ZBTB14
ZBT16_HUMAN	ZBTB16
ZBT17_HUMAN	ZBTB17
ZBT18_HUMAN	ZBTB18
ZBT24_HUMAN	ZBTB24
ZBT26_HUMAN	ZBTB26
ZBT39_HUMAN	ZBTB39
ZBT42_HUMAN	ZBTB42
ZBT44_HUMAN	ZBTB44
ZBT7A_HUMAN	ZBTB7A
ZBT7B_HUMAN	ZBTB7B
ZBTB2_HUMAN	ZBTB2
ZBTB4_HUMAN	ZBTB4
ZBTB6_HUMAN	ZBTB6
ZEB1_HUMAN	ZEB1
ZEP1_HUMAN	HIVEP1
ZEP3_HUMAN	HIVEP3
ZFAT_HUMAN	ZFAT
ZFHX3_HUMAN	ZFHX3
ZFHX4_HUMAN	ZFHX4
ZFP28_HUMAN	ZFP28
ZFP42_HUMAN	ZFP42
ZFP82_HUMAN	ZFP82
ZFX_HUMAN	ZFX
ZIC2_HUMAN	ZIC2
ZIM3_HUMAN	ZIM3
ZN121_HUMAN	ZNF121
ZN134_HUMAN	ZNF134
ZN136_HUMAN	ZNF136
ZN140_HUMAN	ZNF140
ZN143_HUMAN	ZNF143
ZN165_HUMAN	ZNF165
ZN175_HUMAN	ZNF175
ZN184_HUMAN	ZNF184
ZN214_HUMAN	ZNF214
ZN217_HUMAN	ZNF217
ZN224_HUMAN	ZNF224
ZN236_HUMAN	ZNF236
ZN250_HUMAN	ZNF250
ZN257_HUMAN	ZNF257
ZN260_HUMAN	ZNF260
ZN263_HUMAN	ZNF263
ZN264_HUMAN	ZNF264
ZN266_HUMAN	ZNF266
ZN274_HUMAN	ZNF274
ZN281_HUMAN	ZNF281
ZN317_HUMAN	ZNF317
ZN320_HUMAN	ZNF320
ZN322_HUMAN	ZNF322
ZN329_HUMAN	ZNF329
ZN331_HUMAN	ZNF331
ZN335_HUMAN	ZNF335
ZN33A_HUMAN	ZNF33A
ZN341_HUMAN	ZNF341
ZN350_HUMAN	ZNF350
ZN37A_HUMAN	ZNF37A
ZN382_HUMAN	ZNF382
ZN384_HUMAN	ZNF384
ZN394_HUMAN	ZNF394
ZN407_HUMAN	ZNF407
ZN418_HUMAN	ZNF418
ZN419_HUMAN	ZNF419
ZN436_HUMAN	ZNF436
ZN449_HUMAN	ZNF449
ZN454_HUMAN	ZNF454
ZN467_HUMAN	ZNF467
ZN490_HUMAN	ZNF490
ZN502_HUMAN	ZNF502
ZN513_HUMAN	ZNF513
ZN528_HUMAN	ZNF528
ZN547_HUMAN	ZNF547
ZN549_HUMAN	ZNF549
ZN554_HUMAN	ZNF554
ZN563_HUMAN	ZNF563
ZN574_HUMAN	ZNF574
ZN581_HUMAN	ZNF581
ZN582_HUMAN	ZNF582
ZN586_HUMAN	ZNF586
ZN595_HUMAN	ZNF595
ZN596_HUMAN	ZNF596
ZN618_HUMAN	ZNF618
ZN639_HUMAN	ZNF639
ZN644_HUMAN	ZNF644
ZN667_HUMAN	ZNF667
ZN669_HUMAN	ZNF669
ZN680_HUMAN	ZNF680
ZN708_HUMAN	ZNF708
ZN711_HUMAN	ZNF711
ZN768_HUMAN	ZNF768
ZN770_HUMAN	ZNF770
ZN774_HUMAN	ZNF774
ZN778_HUMAN	ZNF778
ZN784_HUMAN	ZNF784
ZN816_HUMAN	ZNF816
ZNF18_HUMAN	ZNF18
ZNF22_HUMAN	ZNF22
ZNF30_HUMAN	ZNF30
ZNF34_HUMAN	ZNF34
ZNF35_HUMAN	ZNF35
ZNF3_HUMAN	ZNF3
ZNF41_HUMAN	ZNF41
ZNF76_HUMAN	ZNF76
ZNF83_HUMAN	ZNF83
ZNF84_HUMAN	ZNF84
ZNF85_HUMAN	ZNF85
ZNF8_HUMAN	ZNF8
ZNF92_HUMAN	ZNF92
ZSC16_HUMAN	ZSCAN16
ZSC22_HUMAN	ZSCAN22
ZSC29_HUMAN	ZSCAN29
ZSC31_HUMAN	ZSCAN31
